,name,price,deskripsi,isi_deksripsi
45,Garnier Light Complete Super Essence 10 ml,Rp29.700 - Rp43.000,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Tube 10 ml**L'Oreal Indonesia**BPOM: NA18151900501
46,Garnier Light Complete Tone Up Cream 15 ml,Rp25.900 - Rp40.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Tube**Garnier
47,Garnier Light Complete White Night Cream 50 ml,Rp39.100 - Rp71.900,Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Sesuai kebutuhan**Bersihkan wajah terlebih dahulu,oleskan secara merata pada wajah dan leher**Produk Konsumen**Tube 50 ml**L'Oreal Indonesia**BPOM: NA18150101324"
48,Garnier Light Complete White Speed Serum Cream 20 ml,Rp10.500 - Rp36.500,Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Sesuai kebutuhan**Bersihkan wajah terlebih dahulu,oleskan secara merata pada wajah dan leher**Produk Konsumen**Tube 50 ml**Garnier**BPOM: NA18141900532"
49,Garnier Light Complete Whitespeed Vitamin C Serum 30 ml,Rp102.600 - Rp175.000,Deskripsi**Indikasi Umum**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Garnier Light Complete Whitespeed Vitamin C Serum merupakan inovasi Booster Serum terbaru untuk aksi cepat cerahkan noda hitam dengan kandungan 30x Vitamin C murni dari Lemon Yuzu Jepang.**Membantu cerahkan noda hitam dan samarkan bekas jerawat.**Produk Konsumen**Botol @ 30 ML**L'Oreal Indonesia**BPOM: NA18181900930
50,Garnier Light Complete Yoghurt Sleeping Mask Night 50 ml,Rp67.000 - Rp117.000,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Pot @ 50 ml**L'Oreal Indonesia**BPOM: NA18190123121
51,Garnier Mask Hydrabomb AGeless White Grape Seed,Rp19.500 - Rp31.500,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Sachet @ 1 piece**Garnier
52,Garnier Mask Hydrabomb Greentea,Rp19.500 - Rp31.500,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Sachet @ 1 piece**Garnier
53,Garnier Mask Hydrobomb Pure Charcoal Black Algae,Rp19.500 - Rp31.500,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Sachet @ 1 piece**L'Oreal Indonesia**BPOM: NA11180200843
54,Garnier Micellar Cleansing Rose Water 125 ml,Rp31.500 - Rp52.600,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Botol @ 125 ml**L'Oreal Indonesia**BPOM: NA18221204392
55,Garnier Micellar Cleansing Water Vitamin C 125 ml,Rp31.500 - Rp58.000,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Botol @ 125 ml**L'Oreal Indonesia**BPOM: NA18211206623
